	101
1	148
1-36	1
10	134
100	4
1000	4
101	7
102	5
103	8
104	9
105	2
106	6
107	4
108	7
109	13
10th	1
11	167
11000	1
1102	1
111	4
112	6
1129	1
113	6
114	5
1144	1
1147	1
115	4
116	3
117	6
118	1
119	6
11th	2
12	60
120	3
121	7
122	6
123	7
124	1
125	4
126	1
127	2
1272	1
128	5
129	3
1290	2
13	51
130	4
1307	2
131	3
133	3
1336	1
134	1
135	10
1350	1
136	9
1365	1
137	6
138	6
1380	1
139	4
14	51
140	9
1405	1
141	7
1414	1
142	6
1426	1
143	6
1436	1
144	8
1447	1
145	6
146	4
147	5
148	4
1485	1
149	6
15	45
150	8
151	8
1517	2
1519	1
152	9
1522	1
1523	1
1525	1
153	9
1530	5
1532	3
1533	1
1535	1
1536	1
1537	1
154	7
1540	1
1548	1
155	3
1552	3
1555	2
1557	2
156	6
1561	1
1562	3
1563	2
1564	3
1565	1
1566	2
1567	1
157	3
1570	1
1571	2
1575	1
1577	1
158	4
1581	1
1585	2
1586	1
1588	2
159	2
1592	1
1595	1
1597	2
1599	1
16	39
160	6
1603	5
1606	1
161	1
1610	1
1615	1
1616	2
1617	1
1618	4
162	3
1620	1
1621	1
1622	1
1626	2
1628	4
163	10
1632	1
1633	9
1634	1
1635	4
1637	3
1638	1
1639	1
164	3
1640	8
1641	1
1642	2
1643	4
1644	3
1645	1
1646	1
165	8
1651	1
1655	1
1656	2
1658	1
166	12
167	8
168	14
169	9
17	60
170	7
171	8
172	5
173	4
174	5
175	6
176	1
177	3
178	7
179	9
18	48
180	6
181	8
182	5
183	9
184	6
185	6
186	5
187	12
188	6
189	1
19	47
190	11
191	8
192	1
193	5
194	10
195	7
196	11
197	5
198	6
199	6
1mo	1
2	199
20	50
200	4
20000	1
201	2
202	2
203	7
204	5
205	5
206	5
207	6
208	4
209	3
20th	1
21	43
210	1
211	1
212	1
213	5
214	4
215	4
216	6
217	6
218	6
219	3
21th	1
22	43
220	1
221	3
222	1
223	8
224	3
225	3
226	4
227	2
228	7
229	3
23	33
230	6
231	7
233	3
234	2
235	3
238	2
239	4
24	30
241	3
242	1
243	3
246	1
249	1
25	43
250	3
251	1
252	1
253	6
254	1
257	1
26	25
262	1
263	1
264	1
265	1
266	4
267	2
268	6
269	2
27	37
270	3
271	3
272	2
273	2
278	2
279	2
28	31
282	1
283	3
284	1
285	1
286	1
287	2
29	29
293	1
294	2
296	2
297	3
298	1
299	2
2ly	1
2mansions	1
3	198
30	44
300	2
3000	1
301	2
302	1
308	1
30th	1
31	30
310	1
311	1
313	3
314	2
315	1
316	2
317	1
318	1
319	1
32	34
323	1
324	2
325	1
326	1
327	1
329	2
33	28
330	1
331	1
333	2
334	2
338	1
339	2
34	23
340	1
344	1
346	1
348	1
349	1
35	20
350	1
351	1
352	1
354	2
357	3
359	2
36	19
361	1
363	3
364	2
365	1
366	1
369	2
37	20
370	1
372	1
374	2
375	2
38	24
386	3
387	1
388	4
389	3
39	29
391	1
392	1
393	3
394	3
395	1
396	2
397	3
398	1
3d	3
4	170
40	29
400	1
401	1
402	2
404	2
405	2
406	1
407	3
408	2
409	1
41	35
410	2
411	1
412	1
413	1
414	1
419	1
42	23
421	2
422	2
423	2
424	3
425	1
426	2
43	28
44	25
45	29
455	1
46	27
47	25
48	17
49	16
490	1
4th	1
5	159
50	12
500	1
51	21
52	20
53	21
54	16
55	16
56	17
560	1
569	1
57	9
570	1
578	1
58	11
580	2
59	11
596	1
5th	1
6	160
60	10
603	2
61	13
62	14
623	1
624	1
63	19
64	10
640	2
646	1
65	12
66	15
67	16
68	15
69	8
7	150
70	15
71	10
72	9
720	1
73	11
74	11
75	7
76	11
77	17
775	1
78	7
786	1
79	4
8	158
80	8
800	1
81	7
82	2
83	7
84	9
85	6
86	10
87	8
88	7
887	1
89	3
893	1
9	201
90	12
900	1
91	9
915	1
92	3
93	7
94	6
95	7
96	7
97	5
98	9
980	1
99	3
a	2251
a-foot	1
aa	1
aaron	1
ab	15
abasing	1
abated	1
abating	1
abb	2
abbesse	1
abbey	17
abbey-church	1
abbeys	9
abbies	6
abbington	1
abbot	21
abbots	4
abby	1
abel	2
abercon-way	1
aberdeen	1
aberrations	1
abhominal	1
abhor	1
abide	3
abilitie	1
abilities	1
ability	5
abilyties	1
abjuration	2
abjureth	1
able	39
abler	2
abode	2
abolish	1
abolished	1
abolishing	5
abolition	1
abominable	5
abominated	1
abominations	1
abound	1
abounded	1
about	124
above	45
abraham	9
abrahams	1
abrest	1
abridged	3
abridgement	1
abroad	9
abruptly	1
absalom	2
absence	5
absent	3
absente	1
absentia	1
absolute	10
absolutely	8
absolution	4
absolv	1
absolve	1
absolveth	1
abstain	2
abstemiousness	1
abstract	2
abstracted	3
abstractedly	1
absurd	1
absurdity	1
abundantly	2
abune	1
aburgaveny	1
abus	1
abuse	8
abused	14
abuses	1
abuseth	1
abusing	1
abuti	1
ac	1
academias	1
academical	1
academicks	1
academy	1
accept	4
acceptable	3
acceptance	3
accepted	2
accepting	2
acception	5
access	1
accesses	1
accession	2
accessorie	1
accessories	1
accident	11
accidental	1
accidential	1
accipientis	1
acclamation	1
acclamations	2
accommodate	2
accommodated	6
accommodation	8
accommodations	2
accompanied	4
accompany	1
accomplices	1
accomplishment	1
accompt	2
accompted	1
accord	1
according	34
accordingly	14
accost	1
account	39
accounted	11
accounteth	1
accounting	3
accounts	4
accoutred	1
accquainteth	1
accrued	1
accurate	1
accursed	2
accus	1
accusation	10
accusator	1
accuse	6
accused	16
accuser	2
accusers	2
accuseth	2
accusing	4
accusomed	1
accustomably	1
accustomed	6
accusâsse	1
accute	1
ace	1
acerbitate	1
acesilas	1
acheson	1
achilles	1
achitophel	1
achitophelesme	1
acknovvledging	1
acknowledg	1
acknowledge	14
acknowledged	16
acknowledgement	5
acknowledgeth	2
acknowledging	8
acknowledgment	3
acouseth	1
acquaint	1
acquaintance	1
acquainted	2
acquainting	1
acquire	1
acquired	1
acquisite	1
acquisitions	1
acquit	5
acquittance	1
acquitted	2
acquitting	1
acqus	1
acrisius	1
act	61
acta	1
acted	10
acteth	1
acting	4
actings	1
action	12
actions	18
active	14
active-juncture	1
activity	8
acton	1
actor	2
actors	1
acts	43
actual	2
actually	2
actum	2
ad	11
adam	4
adams	1
add	39
adde	3
added	16
addeth	3
addicted	1
adding	6
addita	1
additaments	1
addition	10
additional	6
additionall	3
additioned	1
additions	7
additory	7
address	1
addresses	5
addressing	1
addrest	1
adds	9
adelme	1
adeo	2
adequate	4
adequation	1
adesse	1
adhere	2
adherents	1
adhering	2
adhesion	1
adhuc	1
adjected	4
adjection	1
adjective	1
adjourn	1
adjoyning	2
adjudg	1
adjudge	1
adjudged	4
administer	1
administration	3
admirable	3
admiralius	1
admirall	1
admiration	4
admire	9
admired	1
admirer	1
admirers	1
admission	2
admissive	2
admit	5
admitalius	1
admitatur	1
admittance	1
admitted	10
admitteth	1
admitting	3
admonition	1
admrable	1
adnecteret	1
adolescentibus	1
adopted	2
adopts	2
adoration	1
adored	1
adorned	1
adorning	2
adrian	2
adriatick	1
adscribe	3
adscribes	1
adstrictum	1
adulation	1
adultis	1
advanc	2
advance	10
advanced	12
advancement	2
advancer	2
advanceth	2
advancing	1
advantage	38
advantageous	1
advantages	4
advantagious	3
advenae	1
adventum	2
adventure	5
adventurers	3
adventures	1
adventurous	2
adversaries	8
adversary	9
adversus	3
advertis	1
advertisemens	1
advertisements	4
advertiseth	1
advice	7
advis	2
advised	2
advisedly	2
advising	1
advocate	10
advocates	3
advocating	2
advocation	1
advowson	1
ae	1
aede	1
aegypt	4
aegyptiaca	3
aegyptians	4
aemilius	1
aeneas	2
aeolus	1
aequum	1
aesculapius	2
aesop	3
aesopi	1
aethelard	1
aethiopian	2
affairs	15
affcted	2
affected	5
affection	6
affectionate	1
affections	13
affectioons	1
affinity	1
affirm	11
affirmanti	1
affirmed	22
affirmeth	2
affirming	8
afflicted	2
affliction	1
afflictions	1
afford	5
affordd	1
afforded	2
affords	1
affronted	1
aforehand	1
aforesaid	10
afraid	1
afresh	1
africk	1
after	192
after-game	1
afternoon	2
afterward	7
afterwards	49
ag	1
again	50
againe	3
against	306
agamemnon	1
agatis	1
age	55
aged	5
agent	2
agents	3
agere	2
ages	12
aggravate	1
aggravating	1
aggregation	2
aggrieved	1
agimur	2
agincourt	1
agitated	3
agitating	2
agitation	1
agneti	1
agnoscatur	1
agnosceret	1
agoe	2
agr	1
agree	8
agreeable	10
agreeableness	7
agreeablenesse	1
agreed	19
agreeing	2
agreement	11
agreements	2
agrees	3
agricola	2
agrieved	1
agrippa	1
ague	1
ahiman	1
aid	4
aidan	3
aiding	1
aids	1
aim	4
aimed	4
aimes	1
aims	1
aine	1
air	2
aire	1
aix	5
ake	1
al	1
alanus	1
alanzon	3
alas	3
alass	1
alasse	1
alba	5
albam	1
alban	2
albanius	1
albans	4
albanus	1
albeit	2
albinus	1
albions	1
albis	1
albula	1
alcock	1
alcoran	1
alcuinus	1
alderman	1
aldorphini	1
ale	1
alea	2
aleatorum	1
alesius	1
alex	1
alexander	4
alfred	4
alfride	1
alia	2
alias	2
alice	2
alien	2
aliena	1
alienable	1
alienated	2
alienation	2
aliene	1
aliened	1
aliis	3
alijs	2
alike	13
aliorum	1
aliquid	4
alit	1
aliter	1
alive	31
all	715
all-souls	3
allay	1
allayed	1
alledge	7
alledged	20
alledgeth	2
alledging	2
allegation	2
allegations	2
allegiance	6
allegorical	1
allegory	2
allen	1
alley	2
alliance	2
alliances	1
alliegance	1
allovv	1
allow	11
allowance	3
allowed	25
allowing	4
allthough	1
allure	1
almanacks	2
almes-house	1
almeshouse	1
almighty	4
almost	22
alms	2
alms-deeds	1
aloe	1
alone	27
along	12
aloud	1
already	13
also	149
altar	6
altar-wise	1
altars	2
alter	7
alterable	1
alteration	13
alterations	7
altered	7
altering	7
alteris	1
alterum	1
although	22
altogether	6
alwaies	21
alwayes	18
always	2
am	207
amain	1
amatorious	1
amazment	1
ambassadour	1
ambassadours	2
ambiguity	1
ambition	2
ambitious	4
ambitiously	1
ambrose	2
ambrosius	1
ambulando	2
ame	1
amen	7
amend	10
amended	9
amending	3
amendment	2
amese	1
amicable	1
amicis	1
amicus	1
amiss	1
amisse	1
amity	1
ammon	1
ammonites	1
among	2
amongst	99
amos	1
amount	8
amounted	3
amounteth	3
amounting	6
amounts	4
amphibalus	3
ample	1
amplectitur	1
an	446
anabaptist	1
anabaptists	2
anagram	1
anak	1
analogical	1
analogum	1
analogy	1
anarchy	1
anatomy	2
ancenter	1
ancestors	3
ancestours	1
ancestry	2
anchoret	1
ancient	30
ancientest	1
anciently	10
ancients	1
and	4500
andate	1
andrew	1
andrewes	4
andrews	12
andrutius	1
angel	3
anger	12
angl	1
angles	1
anglesey	2
anglia	3
angliae	1
anglicanam	1
anglicano	1
anglis	2
anglum	1
anglus	2
angry	9
angularis	1
ani-mad-versions	1
anima	1
animadertor	1
animadv	1
animadvector	1
animadveo	1
animadversio	1
animadversion	11
animadversions	34
animadvertere	1
animadvertor	466
animadvertorin	1
animadvertors	30
animamadvertors	1
animavertor	1
animisities	1
animositie	1
animosities	6
animosityes	1
animum	1
animus	1
anjou	4
ann	1
anna	2
annals	2
anne	8
annexed	4
annext	1
anno	75
annointed	1
annos	2
annotations	1
annual	4
annuall	1
annually	2
annul	1
annum	5
annuntiata	1
anointed	1
another	117
anselm	2
anselme	3
ansvvered	1
answ	4
answer	117
answerable	2
answere	2
answered	28
answerer	4
answering	3
answers	8
ant	2
antagonist	1
antagonists	2
ante	2
ante-date	1
ante-dates	1
antecedens	1
antecedent	2
antedate	1
antedated	3
antequam	1
anth	1
anthony	2
anthor	1
anthrax	1
anti-chronism	1
anti-episcopal	1
anti-episcopists	1
anti-independent	1
anti-messanisme	1
antichrist	1
antichrists	1
anticipated	3
anticipates	1
anticipation	1
anticks	1
antidote	5
antidotes	2
antient	19
antiently	7
antipathy	5
antiquarie	1
antiquaries	10
antiquary	13
antiquated	2
antiquit	1
antiquitatem	1
antiquitates	1
antiquites	1
antiquitie	1
antiquities	5
antiquity	16
antoninus	1
antonius	5
antwerp	5
anvile	1
any	470
apace	2
apart	1
apeece	1
aphorisme	1
apocrypha	5
apollo	4
apolog	1
apology	3
aposiopaesis	1
apostasy	1
apostle	36
apostles	12
apostleship	1
apostleships	1
apostolical	2
apostolicall	4
apparant	1
apparell	1
apparelled	1
apparent	5
apparently	2
apparere	1
apparition	4
apparrel	1
appeal	23
appealeth	1
appealing	1
appear	64
appearance	9
appeard	1
appeare	2
appeared	11
appeares	3
appeareth	8
appearing	3
appears	27
appeased	1
appellation	1
appello	2
appendant	2
appendants	1
appendix	5
appetite	1
apple	1
appli	1
appliable	2
applicable	1
application	3
applications	1
applied	1
applieth	1
apply	6
applyable	2
applyed	4
appoint	2
appointed	11
appointment	2
appoints	1
apppear	1
apprehended	2
apprehension	5
apprehensions	2
apprntiships	1
approbation	5
approperation	1
appropriated	2
approv	4
approve	9
approved	5
approving	3
appulit	1
apr	1
aprons	1
apt	3
apud	3
apulia	1
aquae	2
aquensis	3
aquila	1
aquitain	1
aquitan	1
arabick	1
arbiter	1
arbitrary	3
arbitration	2
arbitratour	1
arbitretur	1
arbitrio	2
arcbishops	1
arcebantur	1
arch-angel	3
arch-bhop	1
arch-bish	1
arch-bishop	114
arch-bishop's	4
arch-bishoprick	7
arch-bishops	10
arch-deacon	2
arch-deacons	1
arch-flamens	4
arch-flamines	4
arch-flams	1
archangel	1
archb	4
archbishop	39
archbishoprick	4
archbishops	11
archdeacon	2
archdeaconry	1
archdeacons	3
archduke	1
archer	1
archi-flamens	1
archi-flamines	1
archibald	1
archiepiscopal	4
archiepiscopum	1
archiflaminum	1
architects	1
architecture	1
are	370
argentine	1
argos	2
argue	1
argued	1
argument	24
argumentation	1
arguments	37
argumentum	1
ariadne	1
arianisme	1
aright	7
arimathea	3
arimathean	2
ariminum	1
arise	2
arising	2
aristobulus	1
aristocratical	1
aristotle	1
arithmeticians	1
arithmetick	3
ark	3
arles	2
arm	2
arma	2
armach	2
armagh	6
arme	2
armed	4
armes	10
armies	5
armour	2
arms	10
army	10
armyes	1
arnobius	1
arose	2
arraigned	5
arraignment	1
arraigns	1
arrears	2
arrian	2
arrianisme	1
arrians	1
arrival	1
arrivall	1
arrive	1
arrived	1
arrogate	1
arrow	5
art	8
artemis	1
arthur	9
arthurus	1
article	14
articled	1
articles	55
articuli	2
artifice	2
artois	1
arts	3
arundel	5
as	1807
asa	2
asaph	5
ascanius	3
ascending	1
ascension	1
ascention	1
aschwell	1
ascough	1
ascrib	2
ascribe	4
ascribed	6
ascribes	5
ascribing	1
ash	7
ashamed	5
ashes	6
ashley	2
asia	1
asiaticks	1
aside	5
ask	9
asked	3
asking	3
askt	3
asleep	3
aspect	1
aspectu	1
aspersed	1
aspersion	4
aspire	2
aspiring	1
assage	1
assault	2
assaulted	2
assaults	1
asscention	1
assed	1
asselfeth	1
assemble	2
assembled	11
assembley	1
assemblies	1
assembling	1
assembly	13
assent	16
assert	1
asserted	1
assertion	1
assertions	1
assign	3
assigne	2
assigned	9
assigning	2
assist	2
assistance	5
assistant	1
assistants	1
assisted	1
assisteth	1
assisting	2
assizes	1
associates	1
assum	1
assumed	3
assumeth	1
assuming	1
assur	2
assurance	5
assurance-office	1
assure	6
assured	6
assuredly	7
assuring	3
aste	1
asterism	1
astrologers	1
at	637
atcheivements	1
atchieved	3
atchievements	5
atchievments	1
atchivements	1
atheism	1
atheisme	1
atheling	1
athelstan	1
athelstane	1
athelwolphus	2
athenians	2
athirst	1
atone	1
atonement	1
atque	2
attain	5
attainder	1
attaine	1
attained	5
attainted	3
attemper	2
attempt	1
attempted	1
attend	8
attendance	1
attendant	1
attended	8
attendeth	1
attending	5
attention	1
attest	3
attested	5
attire	1
attribute	2
attributed	2
attributes	3
attribution	1
atturney	1
aubrey	2
auctoritate	1
aud	1
audiam	1
audience	1
audire	3
audited	1
audley	1
audre	1
augmentation	2
augmented	2
august	1
augustae	1
augustin	4
augustine	24
augustinean	3
augustum	1
augustus	5
auhor	1
auhority	1
auicular	1
aula	1
aulicus	1
ault	2
aults	1
aulularia	1
aunders	1
auno	1
aunt	1
aurea	1
aurelius	2
ausis	1
ausonius	1
austin	18
austins	3
austria	4
aut	4
autem	1
authenticall	1
authenticallnesse	1
authenticalnesse	2
authentick	4
authentique	1
autho	1
author	680
authorem	1
authoriatively	1
authorise	1
authorised	1
authoritas	1
authoritate	1
authorities	3
authority	60
authorized	1
authors	84
authour	9
authours	1
aux	1
auxiliary	1
avalonius	2
avarice	1
avenge	1
averring	1
averse	3
aversenesse	2
aversness	1
aversnesse	2
avert	1
aving	1
avoid	9
avoiding	1
avon	1
avouch	1
avow	3
avowance	1
avowed	4
avowing	1
avvay	1
awake	1
awaken	1
awakened	1
awaking	1
aware	2
away	34
axholm	1
axon	1
ay	1
b	562
ba	1
baal	3
babe	4
babel	6
babington	2
babits	1
babylon	1
back	30
back-friends	1
back-side	1
backs	1
backward	1
bacon	1
baconthorp	1
bad	23
badby	1
badew	1
badness	1
badnesse	1
bag	1
baggage	1
bail	3
baile	1
bailiol	2
bait	1
baited	1
baker	1
bald-worne	1
bale	6
balforés	1
baliol	1
baliols	3
balks	1
ballance	1
balm	1
balme	1
balsamon	1
balsham	1
baltazer	1
baltick	1
baltick-sea	1
bancar	1
bancor	2
bancroft	5
band	1
bandeleir	1
bandied	2
bandying	1
bane	1
baned	1
bangor	5
bangors	2
banished	5
banisheth	1
banishment	2
banks	2
banner	1
banquet	1
baptised	1
baptiseth	1
baptism	8
baptisme	2
baptiz	1
baptization	1
baptized	3
baptizing	1
bar	4
barbadoes	1
barbarisme	1
barbarous	8
barbarously	4
barbary	1
barclay	1
bards	1
bare	15
barely	4
bargain	3
barge	1
bark	1
bark-shire	1
barking	1
barlow	4
barn	2
barnabas	1
barnaby	1
barnard	1
barns	1
barnstaple	1
barnwell	1
baro	1
baron	10
barones	6
baronesse	1
baroniam	1
baronius	8
baronry	1
barons	14
barony	3
barren	5
barret	1
barthol	1
barwick	3
base	7
basehis	1
basel	1
basely	1
basi	1
basil	5
basket	1
basset	1
bastard	1
bastardy	1
bastwick	1
batchelor	2
batchelour	2
batchelours	2
batel	1
bath	19
bathe	1
battail	5
battails	1
battel	4
battell	1
battels	4
batteries	1
battle	1
battle-abbey	2
bayle	1
bayly	1
be	1360
be-libell	1
be-sprinkleth	1
beale	2
beam	1
beame	1
beams	3
bear	25
beare	1
bearing	6
bears	2
beast	2
beastly	1
beasts	3
beat	1
beaten	6
beati	1
beating	1
beauchamp	1
beauclark	1
beauclerk	4
beaufort	4
beautified	1
beautiful	1
beautifull	2
beauty	3
beautyfie	1
became	12
becanus	1
because	179
becket	3
beckman	2
